,Student ID,student_name_x,gender_x,grade_x,school_name_x,reading_score_x,math_score_x,student_name_y,gender_y,grade_y,school_name_y,reading_score_y,math_score_y
0,4,Bonnie Ray,F,9th,Huang High School,97,84,Bonnie Ray,F,9th,Huang High School,97,84
1,5,Bryan Miranda,M,9th,Huang High School,94,94,Bryan Miranda,M,9th,Huang High School,94,94
2,6,Sheena Carter,F,11th,Huang High School,82,80,Sheena Carter,F,11th,Huang High School,82,80
3,8,Michael Roth,M,10th,Huang High School,95,87,Michael Roth,M,10th,Huang High School,95,87
4,9,Matthew Greene,M,10th,Huang High School,96,84,Matthew Greene,M,10th,Huang High School,96,84
5,10,Andrew Alexander,M,10th,Huang High School,90,70,Andrew Alexander,M,10th,Huang High School,90,70
6,11,Daniel Cooper,M,10th,Huang High School,78,77,Daniel Cooper,M,10th,Huang High School,78,77
7,13,William Long,M,9th,Huang High School,71,79,William Long,M,9th,Huang High School,71,79
8,15,Dr. Jordan Carson,M,11th,Huang High School,94,88,Dr. Jordan Carson,M,11th,Huang High School,94,88
9,17,Kimberly Santiago,F,9th,Huang High School,74,75,Kimberly Santiago,F,9th,Huang High School,74,75
10,19,Brandi Lyons,F,9th,Huang High School,89,80,Brandi Lyons,F,9th,Huang High School,89,80
11,20,Lisa Davis,F,10th,Huang High School,91,89,Lisa Davis,F,10th,Huang High School,91,89
12,21,Kristen Lopez,F,10th,Huang High School,90,77,Kristen Lopez,F,10th,Huang High School,90,77
13,22,Kimberly Stewart,F,11th,Huang High School,99,84,Kimberly Stewart,F,11th,Huang High School,99,84
14,24,Chelsea Griffith,F,11th,Huang High School,85,73,Chelsea Griffith,F,11th,Huang High School,85,73
15,25,Cesar Morris,M,9th,Huang High School,92,70,Cesar Morris,M,9th,Huang High School,92,70
16,29,Nicole Brown,F,12th,Huang High School,90,88,Nicole Brown,F,12th,Huang High School,90,88
17,30,Bobby Harris,M,9th,Huang High School,94,99,Bobby Harris,M,9th,Huang High School,94,99
18,32,Candace Phelps,F,11th,Huang High School,93,90,Candace Phelps,F,11th,Huang High School,93,90
19,36,Kevin Bailey,M,10th,Huang High School,76,76,Kevin Bailey,M,10th,Huang High School,76,76
